open,open close,close,area,adress,name,category,mub
20160614,03,20161227,25.34,중구 대신동 0115-0183번지 지상1층 ,오오츄러스,일반조리판매,N
20160829,03,20180124,6.00,중구 계산동2가 0200번지 현대백화점 식품관 ,북해도스위트,백화점,N
20160927,03,20181220,76.94,중구 동성로3가 0016-0006번지 지상3층 ,커피위더스,커피숍,N
20160930,03,20210317,11.00,중구 남일동 0071 지상1층 ,코페움65,일반조리판매,N
20160623,03,20180723,25.20,중구 동인동4가 0138-0001번지 지상1층 ,풍미가분식,일반조리판매,N
20160623,03,20161118,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제23호 ,홍이모찌,일반조리판매,N
20160623,03,20170825,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제19호 ,스카치에그 바베큐,일반조리판매,N
20160623,03,20170227,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제53호 ,허니버터치즈소세지,일반조리판매,N
20160623,03,20170215,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제13호 ,장여사의 나뭇잎 만두,일반조리판매,N
20160623,03,20170930,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제15호 ,닭똥집튀김떡갈비튀김,일반조리판매,N
20160623,03,20190930,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제25호 ,큐브스테이크,일반조리판매,N
20160623,03,20190930,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제06호 ,스떼끼동,일반조리판매,N
20160624,03,20170612,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제1호 ,깡스족강정,일반조리판매,N
20161007,03,20190319,62.20,중구 동성로2가 0166-0001번지 대구백화점 지하1층 ,레인보우대구대백점,커피숍,N
20161013,03,20191231,49.60,중구 삼덕동2가 0278-0002번지 지상1층 ,르쁘띠델리스,일반조리판매,N
20161019,03,20190711,42.70,중구 계산동2가 0200번지 현대백화점 지하2층 ,카페자우,커피숍,N
20161019,03,20171219,8.25,중구 동인동2가 0251-0010번지 지상1층 ,미래분식,일반조리판매,N
20161021,03,20171204,13.20,중구 계산동2가 0200번지 현대백화점 식품관 ,민트하임,백화점,N
20161024,03,20170915,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제63호 ,한끼닭,일반조리판매,N
20160624,03,20170228,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제2호 ,돈스족발,일반조리판매,N
20160624,03,20190826,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제10호 ,홍대츄러스,일반조리판매,N
20160624,03,20190930,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제17호 ,울트라삼겹철판,일반조리판매,N
20160624,03,20190930,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제27호 ,새우를품은대패삼겹살,일반조리판매,N
20160624,03,20200930,1.44,중구 대신동 0115-0038 서문야시장 판매대 제31호 ,우유튀김,일반조리판매,N
20160624,03,20170825,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제36호 ,오&빠어묵,일반조리판매,N
20160624,03,20190930,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제55호 ,홍콩육포,일반조리판매,N
20160624,03,20170330,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제59호 ,지가네한우선지국,일반조리판매,N
20160628,03,20170529,43.04,중구 동문동 0009-0050번지 지상1층 ,미스터김붕C,커피숍,N
20160628,03,20181120,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제03호 ,하루야끼,일반조리판매,N
20160628,03,20190208,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제05호 ,불타는스테이크,일반조리판매,N
20160628,03,20170823,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제16호 ,멘보새우,일반조리판매,N
20161027,03,20170821,64.72,중구 사일동 0015-0001번지 영플라자 지하1층 ,(주)커피빈코리아대구롯데영플라자점,백화점,N
20161102,03,20180205,12.00,중구 계산동2가 0200번지 현대백화점 식품관 ,대왕커피,백화점,N
20161104,03,20180930,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제35호 ,빠네스프,일반조리판매,N
20161108,03,20170324,21.41,중구 완전동 0005-0021번지 지상1층 ,카페의명인,커피숍,N
20160628,03,20161028,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제30호 ,구름나무숯불갈비,일반조리판매,N
20160628,03,20161024,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제35호 ,최강쭈문꼬치,일반조리판매,N
20160628,03,20170930,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제37호 ,조금남다른리어카,일반조리판매,N
20160628,03,20160823,1.44,중구 대신동 0115-0038번지 서문야시장 판매대 제40호 ,동양국수백과,일반조리판매,N
